timestamp,blockReward
1538721484,3.179392602199636525
1538721494,3.15527317848086334
1538721506,3.106650802988485
1538721518,3.100968953022529227
1538721541,3.1131952049394223
1538721545,3.078626936957897095
1538721547,3.00704714
1538721551,3.1463158100714475
1538721563,3.130410206809909192
1538721578,3.1805890203935325
1538721616,3.177436598854413349
1538721625,3.141209382439118248
1538721628,3.082207966007607336
1538721648,3.08479752885375
1538721677,3.150843184033973648
1538721695,3.169602381494914115
1538721701,3.059222079302141488
1538721730,3.215513334978148658
1538721759,3.138037908408374026
1538721771,3.175073198014688984
1538721784,3.148803201040600684
1538721853,3.210582683730707614
1538721860,3.15394470626229417
1538721873,3.113263869034253054
1538721876,3.0317081700241575
1538721886,3.132720242428414524
1538721893,3.075858642146891103
1538721901,3.055877902219178305
1538721904,3.226392407304284617
1538721913,3.055462667864506145
1538721917,3.140184696529799425
1538721930,3.112967518114373739
1538721937,3.104418801412425332
1538721972,3.0
1538721979,3.147911959986923241
1538721981,3.113340584776698107
1538721986,3.105700109758236187
1538721992,3.116162967657847774
1538722020,3.208770680528213445
1538722024,3.04993654035634127
1538722035,3.10826535645506215
1538722084,3.113946023287813
1538722094,3.0309235899661
1538722106,3.042086130549314486
1538722114,3.12654951400401286
1538722141,3.164092486747990654
1538722143,3.100081507904241192
1538722162,3.200996493512005591
1538722168,3.10387606166619526
1538722172,3.043147216
1538722175,3.161228340068914135
1538722186,3.121941083233394236
1538722187,3.059362598
1538722208,3.203357674052084514
1538722225,3.069267308859731328
1538722227,3.17111517189681476
1538722244,3.1088328465204514
1538722250,3.174910501500052053
1538722258,3.0754312037834
1538722268,3.068348775284596
1538722297,3.128912728316233257
1538722302,3.107602561270863384
1538722314,3.0666634915520716
1538722322,3.17010056023570233
1538722335,3.067156481183723726
1538722354,3.187967880699418629
1538722376,3.107584685706490755
1538722390,3.204003043016949304
1538722397,3.077640677262507138
1538722406,3.070286965457790665
1538722409,3.0274739084720337
1538722413,3.057014025939661862
1538722419,3.03738889704061804
1538722428,3.055918014849990808
1538722434,3.056608839657160152
1538722438,3.0569837959455716
1538722467,3.147345189523793346
1538722471,3.037183125651886496
1538722528,3.21319365096228515
1538722534,3.007457892796638
1538722550,3.1213942418459185
1538722556,3.0611911123646322
1538722562,3.01235044
1538722576,3.080751553670530414
1538722613,3.141956902603509025
1538722639,3.141392228329722237
